127.0.0.1 - - [24/May/2025:14:53:16 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [24/May/2025:14:53:16 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [24/May/2025:14:53:17 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/May/2025:14:59:49 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [24/May/2025:14:59:49 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [24/May/2025:15:13:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 356
0:0:0:0:0:0:0:1 - - [24/May/2025:15:13:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/May/2025:15:13:14 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/May/2025:15:17:59 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [24/May/2025:15:17:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/May/2025:15:17:59 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/May/2025:15:18:22 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [24/May/2025:15:18:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/May/2025:15:18:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [24/May/2025:15:18:22 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/May/2025:15:18:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:58 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:58 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:58 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:59 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/May/2025:15:19:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [24/May/2025:15:20:20 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [24/May/2025:15:25:03 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [24/May/2025:15:25:03 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
